handle,title,category
lavender-shimmer-embroidery-saree-70006s123,Lavender Shimmer Embroidery Saree,
lavender-shimmer-tissue-sequence-embroidery-saree-5056s7213,Lavender Shimmer Tissue Sequence Embroidery Saree,
lavender-shimmer-tissue-sequence-embroidery-saree-70012s112,Lavender Shimmer Tissue Sequence Embroidery Saree,
lavender-silk-woven-saree-4910s905,Lavender Silk Woven Paithani Saree,
light-beige-cotton-dyed-self-woven-blouse-73b1249,Light Beige Cotton Dyed Self Woven Blouse,
light-beige-tussar-silk-printed-kalamkari-saree-4298s301,Light Beige Tussar Silk Printed Kalamkari Saree,
light-blue-chanderi-woven-saree-4357s647,Light Blue Chanderi Woven Saree,
light-blue-cotton-dyed-self-woven-blouse-73b1241,Light Blue Cotton Dyed Self Woven Blouse,
light-blue-silk-woven-printed-saree-70082s266,Light Blue Silk Woven Printed Saree,
light-brown-linen-printed-saree-4299s316,Light Brown Linen Printed Saree,
light-brown-silk-printed-saree-70079s231,Light Brown Silk Printed Saree,
light-brown-silk-woven-kanjivaram-saree-4945s243,Light Brown Silk Woven Kanjivaram Saree,
light-green-cotton-dyed-self-woven-blouse-73b1245,Light Green Cotton Dyed Self Woven Blouse,
light-green-cotton-floral-printed-saree-4957s7142,Light Green Cotton Floral Printed Saree,
light-green-lycra-plain-elastic-waist-shapewear-754swtk305,Light Green Lycra Plain Elastic Waist Shapewear,
light-green-lycra-plain-elastic-waist-shapewear-755swtk405,Light Green Lycra Plain Elastic Waist Shapewear,
light-khaki-tussar-silk-printed-kalamkari-saree-4312s357,Light Khaki Tussar Silk Printed Kalamkari Saree,
light-mauve-silk-printed-saree-70079s233,Light Mauve Silk Printed Saree,
light-mint-green-cotton-dyed-self-woven-blouse-73b1230,Light Mint Green Cotton Dyed Self Woven Blouse,
light-navy-blue-shimmer-silk-printed-kalamkari-saree-4526s498,Light Navy Blue Shimmer Silk Printed Kalamkari Saree,
light-olive-green-silk-printed-saree-70078s225,Light Olive Green Silk Printed Saree,
light-peach-linen-printed-kalamkari-saree-4403s387,Light Peach Linen Printed Kalamkari Saree,
light-peach-silk-woven-printed-saree-70082s262,Light Peach Silk Woven Printed Saree,
light-pink-cotton-dyed-self-woven-blouse-73b1251,Light Pink Cotton Dyed Self Woven Blouse,
light-pink-georgette-foil-printed-saree-4443s334,Light Pink Georgette Foil Printed Saree,
light-pink-linen-ikkat-printed-saree-4409s449,Light Pink Linen Ikkat Printed Saree,
light-salmon-pink-silk-woven-banarasi-saree-3989s146,Light Salmon Pink Silk Woven Banarasi Saree,
light-yellow-cotton-printed-saree-4957s7149,Light Yellow Cotton Printed Saree,
light-yellow-silk-printed-saree-70078s222,Light Yellow Silk Printed Saree,
light-yellow-silk-woven-printed-saree-70082s265,Light Yellow Silk Woven Printed Saree,
lime-yellow-silk-woven-kanjivaram-saree-4954s271,Lime Green Silk Woven Kanjivaram Saree,
lime-green-silk-woven-paithani-saree-5172s1282,Lime Green Silk Woven Paithani Saree,
lime-yellow-cotton-printed-saree-4957s7146,Lime Yellow Cotton Printed Saree,
magenta-chiffon-bandhani-printed-lace-saree-4988s132,Magenta Chiffon Bandhani Printed Lace Saree,
magenta-silk-woven-sarees-3522s1121,Magenta Paithani Silk Woven Saree,
maroon-chiffon-stone-work-swarovski-saree-5058s982,Maroon Chiffon Stone Work Swarovski Saree,
maroon-chiffon-stone-work-swarovski-saree-5059s994,Maroon Chiffon Stone Work Swarovski Saree,
maroon-cotton-dyed-self-woven-blouse-73b1239,Maroon Cotton Dyed Self Woven Blouse,
maroon-georgette-bandhani-printed-lace-saree-4986s114,Maroon Georgette Bandhani Printed Lace Saree,
